id,condition_id,support_id,city_id,payment,age_id,url,payment_limit,payment_frequency,payment_month,transfer_destination,user_application_limit,user_renewal_method,user_renewal_month,contact_information
1,1,7,7,100000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/iwaikinkofu.html,0,5,記載なし,記載なし,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
2,2,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
3,3,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
4,4,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
5,5,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
6,6,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
7,7,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
8,8,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
9,9,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
10,10,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
11,11,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
12,12,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
13,13,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
14,14,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
15,15,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
16,16,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
17,17,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
18,18,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
19,19,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
20,20,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
21,21,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
22,22,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
23,23,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
24,24,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
25,25,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
26,26,20,7,141600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
